origin_hub_id,dest_hub_id,distance_km,osrm_duration_days,buffered_ideal_days,last_refreshed
HUB08,HUB15,963.7,0.506,0.658,2026-09-05
HUB08,HUB16,602.1,0.3239,0.421,2026-09-05
HUB08,HUB17,1759.8,0.9358,1.217,2026-09-05
HUB08,HUB18,886.9,0.4652,0.605,2026-09-05
HUB09,HUB10,1003.1,0.5313,0.691,2026-09-05
HUB09,HUB11,1852.6,0.988,1.284,2026-09-05
HUB09,HUB12,2131.2,1.1895,1.546,2026-09-05
HUB09,HUB13,1786.8,0.9922,1.29,2026-09-05
HUB09,HUB14,1218.9,0.6578,0.855,2026-09-05
HUB09,HUB15,728.1,0.3825,0.497,2026-09-05
HUB09,HUB16,739.0,0.4215,0.548,2026-09-05
HUB09,HUB17,1415.6,0.7469,0.971,2026-09-05
HUB09,HUB18,1241.8,0.6529,0.849,2026-09-05
HUB10,HUB11,1678.5,0.8939,1.162,2026-09-05
HUB10,HUB12,2118.0,1.1516,1.497,2026-09-05
HUB10,HUB13,1887.6,1.0099,1.313,2026-09-05
HUB10,HUB14,1437.2,0.7815,1.016,2026-09-05
HUB10,HUB15,1131.5,0.6048,0.786,2026-09-05
HUB10,HUB16,1571.1,0.8326,1.082,2026-09-05
HUB10,HUB17,885.0,0.4774,0.621,2026-09-05
HUB10,HUB18,1921.7,1.015,1.32,2026-09-05
HUB11,HUB12,526.5,0.3115,0.405,2026-09-05
HUB11,HUB13,346.9,0.1982,0.258,2026-09-05
HUB11,HUB14,629.6,0.3513,0.457,2026-09-05
HUB11,HUB15,1155.7,0.6238,0.811,2026-09-05
HUB11,HUB16,1583.8,0.8392,1.091,2026-09-05
HUB11,HUB17,809.8,0.444,0.577,2026-09-05
HUB11,HUB18,1480.4,0.7807,1.015,2026-09-05
HUB12,HUB13,333.8,0.2112,0.275,2026-09-05
HUB12,HUB14,910.8,0.5339,0.694,2026-09-05
HUB12,HUB15,1413.8,0.8218,1.068,2026-09-05
HUB12,HUB16,1668.7,0.9179,1.193,2026-09-05
HUB12,HUB17,1242.9,0.6925,0.9,2026-09-05
HUB12,HUB18,1565.4,0.8595,1.117,2026-09-05
HUB13,HUB14,570.2,0.3369,0.438,2026-09-05
HUB13,HUB15,1073.1,0.6247,0.812,2026-09-05
HUB13,HUB16,1330.0,0.7115,0.925,2026-09-05
HUB13,HUB17,1013.6,0.5502,0.715,2026-09-05
HUB13,HUB18,1226.7,0.653,0.849,2026-09-05
HUB14,HUB15,506.3,0.2914,0.379,2026-09-05
HUB14,HUB16,906.7,0.499,0.649,2026-09-05
HUB14,HUB17,562.2,0.3207,0.417,2026-09-05
HUB14,HUB18,909.6,0.496,0.645,2026-09-05
HUB15,HUB16,447.7,0.2398,0.312,2026-09-05
HUB15,HUB17,899.2,0.4784,0.622,2026-09-05
HUB15,HUB18,754.7,0.4116,0.535,2026-09-05
HUB16,HUB17,1331.4,0.7083,0.921,2026-09-05
HUB16,HUB18,442.9,0.2387,0.31,2026-09-05
HUB17,HUB18,1472.2,0.7795,1.013,2026-09-05
