route_key,window_start,window_end,precipitation_sum_json,windspeed_max_json,api_call_timestamp
HUB15-HUB17,2025-10-07,2025-10-09,"[0.3, 0.9, 0.0]","[27.1, 12.3, 32.4]",2026-08-14 06:28:38.982634
HUB14-HUB06,2023-05-15,2023-05-18,"[1.4, 1.2, 0.3, 0.3]","[18.8, 15.7, 11.5, 14.8]",2026-08-14 06:28:38.982796
HUB12-HUB15,2024-10-23,2024-10-26,"[0.0, 0.9, 0.0, 0.0]","[16.7, 19.3, 13.9, 21.3]",2026-08-14 06:28:38.982946
HUB03-HUB14,2024-03-15,2024-03-17,"[0.0, 1.0, 1.5]","[16.4, 22.1, 14.7]",2026-08-14 06:28:38.983083
HUB06-HUB07,2024-09-27,2024-09-28,"[0.0, 0.5]","[13.1, 12.6]",2026-08-14 06:28:38.983246
HUB01-HUB18,2024-09-16,2024-09-17,"[0.0, 0.0]","[9.2, 26.3]",2026-08-14 06:28:38.983377
HUB08-HUB14,2023-05-03,2023-05-05,"[0.0, 0.1, 0.3]","[15.4, 20.4, 17.9]",2026-08-14 06:28:38.983521
HUB04-HUB11,2025-01-22,2025-01-25,"[0.5, 0.2, 0.0, 0.8]","[23.4, 11.6, 15.9, 27.0]",2026-08-14 06:28:38.983683
HUB11-HUB06,2024-03-11,2024-03-14,"[0.8, 1.2, 1.6, 0.3]","[10.8, 14.9, 19.6, 14.3]",2026-08-14 06:28:38.983831
HUB08-HUB03,2025-11-19,2025-11-20,"[0.0, 0.0]","[26.0, 25.3]",2026-08-14 06:28:38.983965
HUB17-HUB14,2025-02-02,2025-02-03,"[0.0, 0.7]","[17.4, 17.3]",2026-08-14 06:28:38.984090
HUB15-HUB17,2023-11-14,2023-11-16,"[0.1, 0.0, 1.4]","[18.2, 25.7, 14.4]",2026-08-14 06:28:38.984261
HUB05-HUB14,2023-08-25,2023-08-28,"[None, 1.2, 1.1, 0.1]","[22.7, 15.1, 14.8, 9.1]",2026-08-14 06:28:38.984412
HUB08-HUB07,2025-09-07,2025-09-08,"[14.4, 9.9]","[11.0, 16.3]",2026-08-14 06:28:38.984539
HUB08-HUB16,2024-05-19,2024-05-20,"[0.4, 0.2]","[22.2, 11.6]",2026-08-14 06:28:38.984677
HUB01-HUB11,2025-11-23,2025-11-26,"[0.0, 0.7, 0.0, 0.6]","[20.3, 27.4, 2.3, 22.8]",2026-08-14 06:28:38.984829
HUB14-HUB07,2025-04-04,2025-04-08,"[1.0, 9.6, 0.8, 0.2, 0.0]","[15.4, 17.1, 11.4, 14.8, 14.7]",2026-08-14 06:28:38.984994
HUB02-HUB18,2024-07-21,2024-07-22,"[34.3, 0.9]","[11.7, 13.7]",2026-08-14 06:28:38.985123
HUB15-HUB10,2024-02-08,2024-02-11,"[0.6, 0.4, 0.0, 0.0]","[15.5, 28.9, 21.8, 11.6]",2026-08-14 06:28:38.985310
HUB09-HUB13,2024-09-10,2024-09-14,"[0.0, 18.1, 0.9, 0.0, 1.0]","[8.5, 11.1, 16.5, 11.4, 14.3]",2026-08-14 06:28:38.985475
HUB09-HUB11,2024-01-25,2024-01-28,"[0.0, 0.2, 0.0, 0.2]","[20.1, 13.8, 8.3, 8.7]",2026-08-14 06:28:38.985637
HUB01-HUB05,2025-04-01,2025-04-04,"[0.3, 1.1, 0.2, 0.5]","[17.6, 10.6, 12.6, 15.3]",2026-08-14 06:28:38.985802
HUB12-HUB14,2024-04-12,2024-04-14,"[0.0, 0.2, 0.9]","[22.0, 14.4, 13.6]",2026-08-14 06:28:38.985952
HUB14-HUB03,2025-02-01,2025-02-03,"[0.0, 0.0, 5.8]","[11.4, 12.1, 14.6]",2026-08-14 06:28:38.986153
HUB08-HUB14,2025-07-21,2025-07-23,"[22.6, 0.0, 0.7]","[14.5, 13.3, 17.5]",2026-08-14 06:28:38.986311
HUB05-HUB07,2024-05-27,2024-05-28,"[0.6, 0.0]","[16.2, 17.3]",2026-08-14 06:28:38.986439
HUB18-HUB16,2023-03-18,2023-03-19,"[1.0, 1.1]","[13.7, 4.6]",2026-08-14 06:28:38.986564
HUB09-HUB13,2025-03-17,2025-03-20,"[0.8, 0.0, 0.0, 0.0]","[12.3, 14.0, 23.2, 21.4]",2026-08-14 06:28:38.986724
HUB12-HUB07,2025-11-13,2025-11-17,"[1.1, 1.6, 0.8, 1.0, 0.0]","[16.3, 11.9, 15.7, 14.1, 14.4]",2026-08-14 06:28:38.986882
HUB15-HUB18,2025-10-17,2025-10-19,"[0.9, 3.8, 0.0]","[33.5, 20.7, 21.9]",2026-08-14 06:28:38.987018
HUB11-HUB16,2024-04-04,2024-04-06,"[0.0, 0.0, 0.0]","[12.6, 17.5, 15.6]",2026-08-14 06:28:38.987191
HUB10-HUB02,2024-12-05,2024-12-08,"[0.8, 0.0, 0.1, 1.1]","[15.1, 21.2, 29.7, 16.0]",2026-08-14 06:28:38.987348
HUB13-HUB12,2025-03-07,2025-03-08,"[0.0, 0.4]","[15.4, 1.5]",2026-08-14 06:28:38.987475
HUB16-HUB08,2025-03-05,2025-03-06,"[0.7, 0.0]","[14.1, 14.4]",2026-08-14 06:28:38.987609
HUB13-HUB01,2025-07-04,2025-07-06,"[9.0, 0.6, 9.2]","[14.3, 11.3, 0.7]",2026-08-14 06:28:38.987750
HUB16-HUB15,2025-07-03,2025-07-04,"[0.6, 1.2]","[5.2, 3.3]",2026-08-14 06:28:38.987876
HUB06-HUB07,2025-07-06,2025-07-07,"[7.8, 17.1]","[14.8, 11.6]",2026-08-14 06:28:38.988000
HUB04-HUB16,2024-04-27,2024-04-29,"[0.8, 0.4, 1.1]","[9.8, 14.3, 12.3]",2026-08-14 06:28:38.988164
HUB02-HUB08,2023-04-23,2023-04-25,"[6.7, 1.2, 1.1]","[14.3, 14.7, 19.0]",2026-08-14 06:28:38.988327
HUB01-HUB16,2024-01-04,2024-01-05,"[0.0, 0.3]","[15.9, 12.5]",2026-08-14 06:28:38.988458
HUB09-HUB13,2024-01-20,2024-01-24,"[1.5, 0.5, 0.7, 0.0, 0.0]","[10.2, 16.2, 14.1, 12.0, 19.7]",2026-08-14 06:28:38.988635
HUB16-HUB14,2025-09-16,2025-09-18,"[1.4, 0.0, None]","[3.1, 19.4, 19.6]",2026-08-14 06:28:38.988778
HUB02-HUB12,2023-03-04,2023-03-07,"[0.8, 0.1, 0.4, 0.0]","[10.1, 18.3, 4.3, 4.6]",2026-08-14 06:28:38.988925
HUB12-HUB04,2024-10-09,2024-10-13,"[0.0, 0.4, 0.5, 0.0, 0.0]","[22.4, 35.7, 17.5, 15.5, 28.9]",2026-08-14 06:28:38.989081
HUB15-HUB09,2024-01-18,2024-01-20,"[0.0, 1.0, 0.0]","[17.6, 10.6, 19.0]",2026-08-14 06:28:38.989249
HUB17-HUB07,2024-12-04,2024-12-08,"[1.0, 0.8, 1.0, 0.0, 0.4]","[17.8, 14.6, 16.3, 11.5, 18.2]",2026-08-14 06:28:38.989409
HUB15-HUB04,2024-01-15,2024-01-17,"[0.9, 0.0, 0.7]","[9.2, 9.6, 1.2]",2026-08-14 06:28:38.989544
HUB02-HUB11,2024-03-02,2024-03-04,"[0.0, 1.4, 0.6]","[16.2, 15.8, 8.9]",2026-08-14 06:28:38.989693
HUB03-HUB12,2025-03-12,2025-03-15,"[1.8, 0.0, 0.0, 0.0]","[6.0, 14.9, 10.1, 3.1]",2026-08-14 06:28:38.989839
HUB18-HUB03,2023-12-28,2023-12-29,"[1.1, 0.8]","[15.7, 16.3]",2026-08-14 06:28:38.989964
HUB02-HUB17,2023-04-03,2023-04-06,"[0.1, 0.5, 0.7, 1.2]","[27.0, 7.6, 17.0, 11.2]",2026-08-14 06:28:38.990184
HUB18-HUB08,2023-06-29,2023-06-30,"[1.0, 0.0]","[12.8, 18.2]",2026-08-14 06:28:38.990339
HUB17-HUB09,2025-02-01,2025-02-03,"[0.0, 1.0, 0.0]","[10.2, 12.2, 9.8]",2026-08-14 06:28:38.990481
HUB05-HUB04,2024-02-20,2024-02-22,"[1.7, 1.0, 0.8]","[23.6, 33.3, 13.3]",2026-08-14 06:28:38.990629
HUB15-HUB04,2024-08-17,2024-08-19,"[0.7, 25.3, 3.2]","[30.7, 20.1, 28.7]",2026-08-14 06:28:38.990772
HUB02-HUB06,2024-05-20,2024-05-22,"[7.7, 0.6, 0.1]","[17.0, 13.0, 12.4]",2026-08-14 06:28:38.990912
HUB03-HUB04,2024-06-08,2024-06-09,"[0.0, 0.3]","[19.4, 28.9]",2026-08-14 06:28:38.991035
HUB07-HUB15,2025-12-24,2025-12-26,"[0.6, 0.4, 0.9]","[17.7, 18.6, 21.5]",2026-08-14 06:28:38.991196
HUB05-HUB13,2024-05-23,2024-05-27,"[1.2, 0.2, 1.1, 0.1, 1.1]","[11.7, 16.9, 7.3, 16.4, 17.1]",2026-08-14 06:28:38.991364
HUB08-HUB13,2023-12-05,2023-12-08,"[0.1, 0.0, 0.9, 0.1]","[17.4, 13.8, 8.9, 14.1]",2026-08-14 06:28:38.991515
HUB05-HUB12,2023-12-10,2023-12-15,"[0.5, 0.3, 0.3, 0.3, 11.8, 0.0]","[22.2, 28.8, 18.9, 28.0, 36.5, 19.6]",2026-08-14 06:28:38.991699
HUB05-HUB01,2025-12-13,2025-12-16,"[0.0, 0.0, 12.8, 0.4]","[13.5, 15.9, 18.0, 17.1]",2026-08-14 06:28:38.991859
HUB07-HUB09,2024-05-13,2024-05-15,"[0.9, 1.4, 0.2]","[12.1, 15.7, 12.0]",2026-08-14 06:28:38.992003
HUB01-HUB17,2025-06-24,2025-06-27,"[0.0, 0.7, 0.7, 23.5]","[5.4, 10.5, 11.5, 8.1]",2026-08-14 06:28:38.992204
HUB13-HUB03,2024-08-10,2024-08-13,"[0.6, 0.7, 4.7, 0.8]","[14.2, 11.4, 26.9, 6.7]",2026-08-14 06:28:38.992389
HUB16-HUB10,2024-05-30,2024-06-02,"[19.3, 0.0, 8.2, 0.7]","[27.3, 17.8, 31.3, 4.4]",2026-08-14 06:28:38.992629
HUB08-HUB10,2023-09-24,2023-09-27,"[None, 0.2, 11.7, 25.8]","[6.4, 19.3, 3.6, 14.8]",2026-08-14 06:28:38.992926
HUB04-HUB12,2023-08-22,2023-08-26,"[0.2, 0.0, 0.0, 0.4, 6.2]","[12.3, 0.4, 28.8, 11.1, 7.2]",2026-08-14 06:28:38.993212
HUB17-HUB08,2023-10-07,2023-10-10,"[0.0, 0.8, 0.0, None]","[11.8, 3.8, 19.1, 16.2]",2026-08-14 06:28:38.993391
HUB16-HUB12,2023-04-10,2023-04-13,"[0.1, 0.0, 1.3, 0.1]","[24.7, 7.2, 31.5, 14.1]",2026-08-14 06:28:38.993552
HUB09-HUB03,2025-09-02,2025-09-04,"[0.2, 0.0, 0.0]","[22.5, 15.9, 22.4]",2026-08-14 06:28:38.993708
HUB05-HUB02,2025-08-31,2025-09-03,"[11.8, 36.0, 0.0, 0.8]","[11.1, 21.6, 18.3, 10.4]",2026-08-14 06:28:38.993861
HUB14-HUB04,2023-09-29,2023-10-02,"[0.7, 1.3, 1.5, 1.3]","[12.3, 15.4, 21.6, 11.5]",2026-08-14 06:28:38.994007
HUB16-HUB11,2024-01-14,2024-01-16,"[0.0, 0.0, 0.0]","[10.7, 18.8, 11.4]",2026-08-14 06:28:38.994273
HUB01-HUB07,2023-01-16,2023-01-19,"[3.3, 0.1, 0.8, 1.7]","[14.4, 16.6, 16.7, 8.7]",2026-08-14 06:28:38.994444
HUB06-HUB13,2023-08-07,2023-08-10,"[0.0, 0.7, 12.3, 0.5]","[8.6, 18.1, 16.3, 8.9]",2026-08-14 06:28:38.994609
HUB16-HUB17,2023-01-13,2023-01-15,"[0.7, 0.4, 0.6]","[18.0, 30.2, 13.2]",2026-08-14 06:28:38.994751
HUB02-HUB05,2024-11-28,2024-12-01,"[0.0, 1.6, 0.3, 0.5]","[12.9, 14.5, 15.8, 15.9]",2026-08-14 06:28:38.994895
HUB05-HUB03,2024-08-08,2024-08-10,"[0.0, 1.0, 0.6]","[14.7, 4.6, 13.7]",2026-08-14 06:28:38.995031
HUB15-HUB02,2023-05-03,2023-05-04,"[0.0, 0.5]","[28.6, 20.6]",2026-08-14 06:28:38.995223
HUB15-HUB13,2023-03-08,2023-03-10,"[0.2, 1.0, 0.7]","[3.8, 20.7, 16.3]",2026-08-14 06:28:38.995456
HUB05-HUB18,2025-09-18,2025-09-21,"[0.0, 18.4, 0.0, 0.4]","[17.0, 13.2, 13.8, 17.9]",2026-08-14 06:28:38.995639
HUB16-HUB09,2023-11-25,2023-11-27,"[0.0, 0.9, 14.0]","[17.3, 5.9, 16.3]",2026-08-14 06:28:38.995792
HUB06-HUB17,2025-03-18,2025-03-21,"[0.2, 0.0, 0.0, 0.9]","[11.7, 2.3, 13.3, 23.4]",2026-08-14 06:28:38.995942
HUB04-HUB10,2024-05-09,2024-05-13,"[0.3, 0.4, 0.0, 0.2, 0.0]","[17.7, 5.5, 11.8, 24.1, 10.7]",2026-08-14 06:28:38.996102
HUB08-HUB14,2025-04-25,2025-04-28,"[3.4, 0.0, 0.0, 1.4]","[10.7, 11.6, 21.1, 15.3]",2026-08-14 06:28:38.996297
HUB11-HUB05,2025-09-19,2025-09-22,"[0.6, 0.4, 0.4, 0.7]","[10.7, 10.8, 16.6, 20.6]",2026-08-14 06:28:38.996447
HUB11-HUB10,2025-12-04,2025-12-07,"[0.6, 0.1, 0.4, 0.3]","[26.9, 20.3, 27.2, 39.7]",2026-08-14 06:28:38.996605
HUB05-HUB03,2023-06-25,2023-06-27,"[6.7, 5.1, 0.0]","[11.6, 16.7, 15.2]",2026-08-14 06:28:38.996746
HUB12-HUB11,2024-12-26,2024-12-27,"[1.6, 0.6]","[16.8, 21.6]",2026-08-14 06:28:38.996875
HUB01-HUB05,2025-09-04,2025-09-06,"[0.7, 15.9, 10.2]","[12.1, 6.3, 9.7]",2026-08-14 06:28:38.997009
HUB02-HUB09,2024-12-06,2024-12-08,"[0.2, 0.6, 0.1]","[17.4, 20.6, 16.4]",2026-08-14 06:28:38.997174
HUB05-HUB06,2023-06-22,2023-06-23,"[15.7, 0.4]","[14.7, 13.9]",2026-08-14 06:28:38.997311
HUB18-HUB16,2025-10-21,2025-10-22,"[0.2, 8.5]","[15.7, 14.1]",2026-08-14 06:28:38.997437
HUB13-HUB14,2024-06-07,2024-06-08,"[0.3, 0.8]","[14.9, 10.3]",2026-08-14 06:28:38.997594
HUB01-HUB14,2024-11-23,2024-11-25,"[0.2, 0.5, 0.0]","[14.5, 19.5, 22.2]",2026-08-14 06:28:38.997741
HUB02-HUB13,2024-05-10,2024-05-12,"[0.0, 0.0, 0.3]","[19.6, 14.2, 13.1]",2026-08-14 06:28:38.997914
HUB16-HUB02,2025-01-30,2025-02-01,"[1.0, 0.4, 0.0]","[9.8, 10.2, 14.0]",2026-08-14 06:28:38.998220
HUB10-HUB07,2024-07-13,2024-07-16,"[2.5, 0.9, 22.5, 7.4]","[20.5, 16.0, 16.0, 16.0]",2026-08-14 06:28:38.998407
HUB13-HUB06,2023-03-08,2023-03-12,"[0.8, 0.0, 0.0, 0.6, 0.0]","[10.5, 12.5, 14.2, 14.3, 11.3]",2026-08-14 06:28:38.998583
HUB06-HUB03,2023-12-10,2023-12-12,"[7.2, 0.8, 1.1]","[25.4, 14.9, 16.0]",2026-08-14 06:28:38.998734
HUB06-HUB14,2025-01-04,2025-01-07,"[0.6, 0.3, 6.6, 0.5]","[12.3, 15.3, 12.1, 21.9]",2026-08-14 06:28:38.998883
HUB03-HUB13,2024-01-11,2024-01-14,"[0.0, 0.6, 0.0, 0.5]","[9.5, 9.2, 17.5, 10.3]",2026-08-14 06:28:38.999029
HUB11-HUB18,2024-06-25,2024-06-28,"[0.0, 27.8, 6.8, 1.1]","[2.6, 2.0, 18.6, 12.3]",2026-08-14 06:28:38.999211
HUB11-HUB18,2023-06-16,2023-06-19,"[10.2, 0.1, 0.0, 0.0]","[10.1, 14.1, 18.7, 4.9]",2026-08-14 06:28:38.999370
HUB10-HUB14,2023-08-15,2023-08-18,"[31.5, 24.4, None, 8.0]","[12.4, 9.3, 15.9, 18.0]",2026-08-14 06:28:38.999519
HUB17-HUB16,2025-01-02,2025-01-04,"[0.1, 0.0, 1.1]","[10.9, 11.9, 11.3]",2026-08-14 06:28:38.999675
HUB13-HUB09,2025-06-30,2025-07-03,"[7.5, 25.8, 15.0, 0.9]","[15.3, 14.2, 14.8, 13.3]",2026-08-14 06:28:38.999829
HUB17-HUB04,2024-05-21,2024-05-24,"[0.3, 0.0, 0.6, 0.0]","[10.3, 31.1, 37.5, 24.5]",2026-08-14 06:28:38.999984
HUB14-HUB12,2024-03-05,2024-03-07,"[0.0, 0.1, 0.1]","[6.6, 0.3, 6.8]",2026-08-14 06:28:39.000121
HUB03-HUB08,2024-10-14,2024-10-16,"[0.1, 0.0, 0.0]","[14.3, 16.1, 13.5]",2026-08-14 06:28:39.000295
HUB10-HUB14,2024-04-26,2024-04-29,"[0.0, 0.5, 10.0, 0.1]","[12.5, 15.6, 16.2, 14.0]",2026-08-14 06:28:39.000449
HUB18-HUB13,2025-10-18,2025-10-20,"[20.0, 0.5, 0.0]","[23.6, 12.9, 23.2]",2026-08-14 06:28:39.000624
HUB13-HUB03,2024-08-14,2024-08-17,"[6.2, 10.0, 0.2, 0.0]","[0.1, 21.3, 9.8, 8.3]",2026-08-14 06:28:39.000841
HUB03-HUB06,2023-07-17,2023-07-19,"[0.0, 0.5, 0.1]","[22.3, 15.8, 17.0]",2026-08-14 06:28:39.000990
HUB04-HUB18,2025-07-21,2025-07-22,"[12.6, 0.4]","[22.6, 5.8]",2026-08-14 06:28:39.001120
HUB02-HUB17,2025-10-02,2025-10-05,"[1.1, 0.0, None, 0.9]","[32.9, 21.5, 25.3, 28.3]",2026-08-14 06:28:39.001307
HUB13-HUB12,2023-09-29,2023-09-30,"[1.0, 0.4]","[20.5, 14.8]",2026-08-14 06:28:39.001433
HUB08-HUB18,2025-02-22,2025-02-24,"[0.1, 0.2, 0.6]","[12.0, 11.3, 3.4]",2026-08-14 06:28:39.001585
HUB08-HUB10,2024-11-08,2024-11-11,"[0.1, 0.4, 0.2, 0.6]","[32.4, 11.1, 26.1, 33.3]",2026-08-14 06:28:39.001742
HUB18-HUB04,2023-04-06,2023-04-07,"[0.5, 0.5]","[10.2, 14.2]",2026-08-14 06:28:39.001871
HUB17-HUB14,2025-09-07,2025-09-08,"[3.0, 0.8]","[9.3, 21.2]",2026-08-14 06:28:39.001997
HUB02-HUB08,2025-11-25,2025-11-27,"[0.3, 0.2, 1.1]","[12.5, 15.5, 17.3]",2026-08-14 06:28:39.002211
HUB16-HUB17,2024-09-08,2024-09-10,"[0.2, 1.1, 0.5]","[12.8, 8.6, 19.9]",2026-08-14 06:28:39.002363
HUB17-HUB16,2024-10-23,2024-10-25,"[0.0, 1.1, 0.6]","[16.5, 10.5, 16.5]",2026-08-14 06:28:39.002500
HUB01-HUB12,2023-08-14,2023-08-16,"[5.2, 8.6, 29.4]","[26.7, 18.8, 7.6]",2026-08-14 06:28:39.002648
HUB17-HUB06,2024-11-03,2024-11-06,"[0.2, 0.8, 0.0, 9.1]","[15.0, 11.2, 17.9, 12.6]",2026-08-14 06:28:39.002798
HUB14-HUB01,2024-09-21,2024-09-23,"[0.8, 0.0, 17.9]","[13.8, 16.3, 6.5]",2026-08-14 06:28:39.002935
HUB06-HUB04,2024-03-17,2024-03-19,"[0.9, 0.0, 0.6]","[6.2, 22.1, 10.6]",2026-08-14 06:28:39.003070
HUB11-HUB02,2024-07-06,2024-07-08,"[14.4, 6.1, 28.5]","[11.2, 9.7, 4.8]",2026-08-14 06:28:39.003238
HUB01-HUB16,2025-04-02,2025-04-03,"[0.6, 0.0]","[7.5, 13.9]",2026-08-14 06:28:39.003368
HUB13-HUB15,2025-04-26,2025-04-28,"[0.0, 0.7, 0.8]","[22.9, 12.1, 21.8]",2026-08-14 06:28:39.003504
HUB07-HUB10,2024-12-27,2024-12-30,"[0.4, 1.2, 0.4, None]","[27.5, 15.8, 26.2, 23.4]",2026-08-14 06:28:39.003667
HUB05-HUB10,2025-05-02,2025-05-05,"[11.3, 0.5, 0.0, 0.0]","[20.2, 27.7, 27.0, 32.3]",2026-08-14 06:28:39.003819
HUB15-HUB14,2025-06-04,2025-06-05,"[22.8, 0.4]","[11.7, 16.3]",2026-08-14 06:28:39.003944
HUB15-HUB18,2024-12-14,2024-12-16,"[0.8, 0.6, 0.1]","[29.1, 13.0, 19.2]",2026-08-14 06:28:39.004078
HUB07-HUB11,2023-03-13,2023-03-18,"[0.5, 0.3, 0.8, 0.0, 0.8, 0.0]","[20.6, 9.2, 14.4, 6.1, 9.6, 2.5]",2026-08-14 06:28:39.004282
HUB03-HUB04,2024-02-19,2024-02-20,"[1.0, 0.1]","[3.0, 12.6]",2026-08-14 06:28:39.004412
HUB14-HUB10,2024-02-04,2024-02-07,"[0.2, 0.1, 0.0, 0.2]","[13.1, 27.0, 5.4, 2.4]",2026-08-14 06:28:39.004556
HUB17-HUB13,2025-03-26,2025-03-28,"[0.3, 12.2, 0.3]","[17.6, 7.8, 11.2]",2026-08-14 06:28:39.004707
HUB16-HUB13,2025-03-12,2025-03-15,"[0.0, 0.0, 1.0, 0.0]","[11.8, 13.8, 15.7, 15.1]",2026-08-14 06:28:39.004853
HUB08-HUB18,2023-08-07,2023-08-09,"[0.8, 4.1, 0.1]","[6.5, 19.0, 12.3]",2026-08-14 06:28:39.004986
HUB10-HUB03,2024-10-13,2024-10-16,"[0.4, 0.0, 0.0, 0.0]","[21.2, 30.5, 20.3, 30.1]",2026-08-14 06:28:39.005151
HUB02-HUB01,2023-04-11,2023-04-12,"[0.0, 0.3]","[20.5, 12.7]",2026-08-14 06:28:39.005299
HUB06-HUB13,2023-11-18,2023-11-22,"[0.4, 0.4, 0.0, 0.0, 10.0]","[16.2, 18.0, 18.7, 21.1, 22.6]",2026-08-14 06:28:39.005462
HUB13-HUB07,2023-04-03,2023-04-08,"[1.2, 0.7, 0.0, 0.9, 1.7, 0.8]","[19.0, 13.1, 12.1, 15.5, 18.3, 15.7]",2026-08-14 06:28:39.005647
HUB14-HUB18,2024-07-08,2024-07-10,"[0.7, 0.0, 0.0]","[19.2, 26.2, 5.0]",2026-08-14 06:28:39.005788
HUB07-HUB04,2025-04-15,2025-04-17,"[0.1, 5.9, 0.0]","[5.3, 19.2, 10.9]",2026-08-14 06:28:39.005930
HUB17-HUB09,2025-01-02,2025-01-04,"[0.0, 0.0, 0.6]","[10.6, 12.9, 10.0]",2026-08-14 06:28:39.006107
HUB05-HUB10,2023-09-09,2023-09-12,"[0.6, 9.8, 40.1, 0.1]","[19.4, 11.1, 20.8, 1.6]",2026-08-14 06:28:39.006297
HUB13-HUB01,2025-05-15,2025-05-17,"[0.0, 0.4, 0.0]","[33.8, 18.5, 5.0]",2026-08-14 06:28:39.006439
HUB13-HUB16,2023-06-30,2023-07-03,"[0.0, 26.1, 0.0, 0.2]","[11.6, 14.3, 12.6, 12.7]",2026-08-14 06:28:39.006600
HUB11-HUB06,2025-04-29,2025-05-02,"[6.7, 1.5, 0.1, 1.4]","[10.3, 14.4, 17.6, 11.9]",2026-08-14 06:28:39.006755
HUB07-HUB18,2023-11-23,2023-11-25,"[0.5, 0.5, 0.4]","[15.8, 18.2, 9.4]",2026-08-14 06:28:39.006897
HUB13-HUB05,2025-09-01,2025-09-05,"[4.2, 0.2, 1.3, 0.0, 1.3]","[11.7, 15.5, 12.8, 9.5, 18.6]",2026-08-14 06:28:39.007053
HUB04-HUB10,2025-05-16,2025-05-20,"[16.6, 0.6, 0.0, 0.0, 0.4]","[15.0, 23.7, 32.8, 19.8, 28.5]",2026-08-14 06:28:39.007249
HUB15-HUB11,2025-12-11,2025-12-13,"[1.1, 0.9, 0.2]","[15.5, 21.6, 19.7]",2026-08-14 06:28:39.007393
HUB11-HUB17,2025-10-12,2025-10-14,"[0.1, 0.4, 1.6]","[20.0, 15.8, 33.5]",2026-08-14 06:28:39.007529
HUB08-HUB03,2023-05-13,2023-05-15,"[0.5, 0.8, 0.0]","[28.6, 33.7, 13.6]",2026-08-14 06:28:39.007680
HUB07-HUB16,2024-09-28,2024-09-30,"[0.0, 14.6, 0.0]","[14.8, 12.1, 13.4]",2026-08-14 06:28:39.007816
HUB03-HUB12,2023-11-27,2023-11-30,"[0.0, 0.5, 1.4, 0.1]","[10.7, 14.6, 19.5, 8.6]",2026-08-14 06:28:39.007960
HUB01-HUB04,2025-11-27,2025-11-28,"[0.2, 0.0]","[7.5, 18.7]",2026-08-14 06:28:39.008083
HUB06-HUB08,2023-03-06,2023-03-07,"[1.6, 0.5]","[14.3, 9.9]",2026-08-14 06:28:39.008239
HUB05-HUB01,2023-09-11,2023-09-13,"[0.0, 12.5, 0.0]","[24.6, 18.1, 23.8]",2026-08-14 06:28:39.008378
HUB13-HUB18,2025-07-06,2025-07-08,"[17.8, 4.7, 0.1]","[9.3, 14.9, 13.4]",2026-08-14 06:28:39.008515
HUB09-HUB16,2023-03-26,2023-03-28,"[0.0, 0.0, 1.5]","[14.0, 14.8, 8.9]",2026-08-14 06:28:39.008661
